Designator,Mid X,Mid Y,Rotation,Layer
BAT2,51.8,-74.0,0.0,top
C1,84.04,-98.5,0.0,top
C10,69.0,-97.0,180.0,top
C11,59.6,-47.2,45.0,top
C12,64.451992,-56.451992,135.0,top
C13,74.2,-51.2,225.0,top
C14,72.0,-41.6,315.0,top
C15,70.8,-42.8,315.0,top
C17,78.4,-83.6,0.0,top
C18,74.4,-83.6,180.0,top
C19,68.2,-69.0,270.0,top
C2,87.1,-85.1,180.0,top
C20,79.2,-64.2,0.0,top
C21,75.2,-47.2,315.0,top
C3,91.1,-82.1,90.0,top
C4,87.6,-77.6,180.0,top
C5,83.127478,-40.9,45.0,top
C6,77.0,-34.9,45.0,top
C7,79.4,-46.2,45.0,top
C8,78.4,-42.2,315.0,top
C9,89.0,-71.7,180.0,top
D1,92.0,-90.5,90.0,top
D2,91.54,-100.0,270.0,top
D3,86.8,-109.600001,0.0,top
D4,86.04,-104.5,180.0,top
D5,39.0,-63.4,0.0,top
D6,42.8,-44.05,0.0,top
D7,42.8,-46.9,0.0,top
D8,76.4,-80.2,90.0,top
D9,42.8,-41.2,0.0,top
F1,90.54,-106.5,90.0,top
J1,50.5,-100.024999,270.0,top
J2,37.865,-55.45,270.0,top
J3,60.999999,-33.2,0.0,top
J4,91.75,-51.1,0.0,top
J5,74.5,-121.0,0.0,top
J7,48.46,-123.5,0.0,top
R1,86.8,-107.6,0.0,top
R10,44.6,-52.3,90.0,top
R11,39.3,-44.05,0.0,top
R12,57.4,-124.8,270.0,top
R13,70.8,-64.2,0.0,top
R14,39.3,-41.2,0.0,top
R15,39.3,-46.9,180.0,top
R2,58.3,-56.3,90.0,top
R3,69.0,-99.0,180.0,top
R4,69.0,-92.0,180.0,top
R5,69.0,-90.0,180.0,top
R6,69.0,-109.0,180.0,top
R7,69.0,-106.5,180.0,top
R8,69.0,-104.0,180.0,top
R9,44.6,-57.9,270.0,top
SW1,89.2,-69.0,180.0,top
TP1,61.4,-64.6,0.0,top
TP2,61.4,-59.4,0.0,top
TP3,91.0,-126.4,0.0,top
TP4,77.2,-61.0,90.0,top
TP5,81.0,-61.0,90.0,top
U1,87.6,-81.6,90.0,top
U2,83.96,-90.4275,180.0,top
U3,66.5,-49.5,135.0,top
U4,53.2,-54.9,90.0,top
U5,79.2,-69.0,180.0,top
U6,72.2,-69.0,0.0,top
Y1,80.0,-37.9,135.0,top
Y2,77.0,-44.2,135.0,top
